lastName,middleInitial,firstName,jobClass,agencyName,agencyID,annualSalary,grossPay,hireDate,fiscalYear
Aaron,D,Kareem,UTILITIES INST REPAIR II,Public Works,A50,52000,61200.50,2018-08-27,FY2024
Aaron,R,Lynda,ELECTION JUDGES REGULAR,Board of Elections,D01,0,185.00,2020-12-26,FY2024
Abell,M,Patricia,SANITATION CREW MEMBER,Public Works,A50,44000,51800.00,2015-03-14,FY2024
Abernathy,J,Marcus,POLICE OFFICER,Police Department,A99,75167,88420.00,2016-06-03,FY2024
Abney,T,Denise,HOUSING INSPECTOR,Housing & Community Development,A06,58000,62400.00,2012-09-01,FY2024
Abraham,K,Samuel,ROAD CREW SUPERVISOR,Transportation,A30,61000,70200.00,2010-05-17,FY2024
Abrams,G,Catherine,ADMINISTRATIVE COORDINATOR,Housing & Community Development,A06,54316,55713.59,2008-12-01,FY2024
Acheson,P,Howard,RECREATION PROGRAMMER,Recreation & Parks,A40,42000,46800.00,2014-07-01,FY2024
Acker,D,Theresa,SANITATION CREW MEMBER,Public Works,A50,43500,50100.00,2016-05-19,FY2024
Adams,L,Jerome,POLICE OFFICER,Police Department,A99,74000,91500.00,2014-02-28,FY2024
Adams,M,Shirley,PROGRAM MANAGER II,Housing & Community Development,A06,72000,75800.00,2018-10-15,FY2024
Addison,T,Vernon,STREET LIGHT TECHNICIAN,Transportation,A30,55000,63400.00,2006-04-20,FY2024
Adewale,O,Blessing,SANITATION DRIVER,Public Works,A50,48000,57600.00,2015-08-03,FY2024
Aguilar,C,Roberto,POLICE OFFICER,Police Department,A99,71000,84300.00,2010-11-01,FY2024
Ahlstrom,B,David,ROAD INSPECTOR,Transportation,A30,59000,67200.00,2009-06-14,FY2024
Ahmed,K,Fatima,RECREATION AIDE,Recreation & Parks,A40,38000,41500.00,2018-09-22,FY2024
Aiken,S,Michael,DETECTIVE,Police Department,A99,85000,101200.00,2011-03-05,FY2024
Ainsworth,P,Donna,SANITATION CREW MEMBER,Public Works,A50,44500,52800.00,2017-07-18,FY2024
Akers,J,William,RECREATION LEADER,Recreation & Parks,A40,40000,44100.00,2013-10-08,FY2024
Akins,D,Charles,POLICE SERGEANT,Police Department,A99,95000,118000.00,2013-05-30,FY2024
Akinsanya,F,Adaeze,SANITATION CREW MEMBER,Public Works,A50,43000,50600.00,2016-12-01,FY2024
Akomolafe,T,Oluwaseun,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,41000,45300.00,2008-08-15,FY2024
Akpan,I,Uduak,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,66000,69200.00,2019-02-20,FY2024
Akridge,H,Franklin,SANITATION SUPERVISOR,Public Works,A50,58000,68400.00,2009-04-10,FY2024
Alabi,M,Olumide,POLICE OFFICER,Police Department,A99,70000,82500.00,2012-07-25,FY2024
Alade,O,Temitope,RECREATION PROGRAMMER,Recreation & Parks,A40,41500,46100.00,2010-11-19,FY2024
Alameda,V,Rosa,SANITATION CREW MEMBER,Public Works,A50,44000,52000.00,2015-09-03,FY2024
Albers,K,Frederick,POLICE OFFICER,Police Department,A99,73000,88200.00,2009-01-14,FY2024
Alderman,C,Brenda,HOUSING INSPECTOR,Housing & Community Development,A06,60000,63500.00,2021-03-28,FY2024
Aldridge,B,Gerald,SANITATION DRIVER,Public Works,A50,47000,55800.00,2013-05-07,FY2024
Aleman,G,Carlos,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40500,44900.00,2006-10-22,FY2024
Alexander,T,Quinton,POLICE LIEUTENANT,Police Department,A99,108000,128000.00,2014-06-18,FY2024
Alexander,W,Renee,SANITATION CREW MEMBER,Public Works,A50,43000,50800.00,2017-08-11,FY2024
Alford,J,Delores,RECREATION AIDE,Recreation & Parks,A40,38500,42200.00,2009-12-05,FY2024
Ali,H,Khalid,POLICE OFFICER,Police Department,A99,69000,81000.00,2011-02-09,FY2024
Ali,R,Amira,SANITATION DRIVER,Public Works,A50,48500,58200.00,2015-07-24,FY2024
Alim,B,Dawud,PARKS SUPERVISOR,Recreation & Parks,A40,52000,57700.00,2008-09-18,FY2024
Allen,C,Robert,POLICE SERGEANT,Police Department,A99,96000,119500.00,2012-11-30,FY2024
Allen,D,Pamela,HOUSING SUPERVISOR,Housing & Community Development,A06,78000,82000.00,2019-05-12,FY2024
Allen,E,Jacqueline,SANITATION CREW MEMBER,Public Works,A50,44000,51700.00,2014-01-06,FY2024
Allen,F,Raymond,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39000,43300.00,2007-08-27,FY2024
Allen,G,Clifford,POLICE OFFICER,Police Department,A99,70500,84000.00,2010-03-21,FY2024
Allen,H,Shirley,SANITATION SUPERVISOR,Public Works,A50,57500,67800.00,2016-06-03,FY2024
Alley,J,Thomas,RECREATION LEADER,Recreation & Parks,A40,41000,45500.00,2013-10-16,FY2024
Allison,K,Beverly,HOUSING INSPECTOR,Housing & Community Development,A06,59000,62000.00,2020-12-22,FY2024
Allman,L,Eugene,POLICE OFFICER,Police Department,A99,72500,87500.00,2011-04-08,FY2024
Almeida,N,Gloria,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40000,44400.00,2005-09-29,FY2024
Almond,O,Reginald,POLICE OFFICER,Police Department,A99,71000,85800.00,2013-02-14,FY2024
Alpert,Q,Harvey,SANITATION CREW MEMBER,Public Works,A50,43500,51300.00,2016-11-18,FY2024
Alston,R,Carolyn,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40500,44700.00,2009-03-10,FY2024
Altman,S,Leonard,POLICE DETECTIVE,Police Department,A99,88000,106000.00,2014-08-23,FY2024
Alvarado,T,Miguel,SANITATION DRIVER,Public Works,A50,47500,56800.00,2010-05-06,FY2024
Alvarez,U,Diana,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39500,43800.00,2012-10-21,FY2024
Alvarez,V,Rosa,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,64000,67500.00,2018-01-30,FY2024
Alvarez,W,Jesus,POLICE OFFICER,Police Department,A99,69500,82200.00,2011-07-14,FY2024
Ames,X,Richard,ROAD CREW MEMBER,Transportation,A30,52000,59800.00,2015-09-02,FY2024
Aminu,Y,Aisha,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40000,44200.00,2008-12-17,FY2024
Amoako,Z,Kofi,POLICE OFFICER,Police Department,A99,71500,85000.00,2013-04-28,FY2024
Amponsah,B,Kwame,SANITATION CREW MEMBER,Public Works,A50,43000,50900.00,2017-01-23,FY2024
Amundsen,C,Erik,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40500,44800.00,2006-06-11,FY2024
Andersen,D,Lars,POLICE OFFICER,Police Department,A99,70000,83500.00,2010-11-05,FY2024
Anderson,E,Tameka,HOUSING INSPECTOR,Housing & Community Development,A06,61000,64200.00,2022-03-18,FY2024
Anderson,F,Dwayne,SANITATION DRIVER,Public Works,A50,48000,57300.00,2014-07-30,FY2024
Anderson,G,Cynthia,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39000,43200.00,2007-10-12,FY2024
Anderson,H,Marcus,POLICE SERGEANT,Police Department,A99,97000,121000.00,2012-02-22,FY2024
Anderson,I,Renata,HOUSING SUPERVISOR,Housing & Community Development,A06,76000,80000.00,2020-05-07,FY2024
Anderson,J,Tyrone,SANITATION CREW MEMBER,Public Works,A50,43500,51600.00,2016-09-19,FY2024
Anderson,K,Latoya,PARKS PROGRAMMER,Recreation & Parks,A40,44000,48900.00,2009-01-04,FY2024
Andrews,L,Desmond,POLICE OFFICER,Police Department,A99,71000,85200.00,2013-06-17,FY2024
Andrews,M,Phyllis,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,63000,66400.00,2021-10-28,FY2024
Andrews,N,Curtis,SANITATION CREW MEMBER,Public Works,A50,44000,51900.00,2015-04-05,FY2024
Andrews,O,Wanda,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39000,43100.00,2004-08-20,FY2024
Angell,P,Russell,POLICE LIEUTENANT,Police Department,A99,106000,125000.00,2011-12-03,FY2024
Ankomah,Q,Yaw,SANITATION CREW MEMBER,Public Works,A50,43500,51400.00,2017-03-14,FY2024
Annan,R,Ama,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40500,44600.00,2010-07-27,FY2024
Anthony,S,James,POLICE OFFICER,Police Department,A99,70500,84800.00,2012-11-10,FY2024
Antoine,T,Nadine,HOUSING INSPECTOR,Housing & Community Development,A06,62000,65300.00,2019-02-24,FY2024
Antonio,U,Carlos,SANITATION SUPERVISOR,Public Works,A50,58500,69200.00,2008-06-08,FY2024
Aoki,V,Kenji,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39500,43700.00,2006-09-23,FY2024
Appiah,W,Kwabena,POLICE OFFICER,Police Department,A99,72000,87000.00,2014-01-18,FY2024
Applebaum,X,Steven,HOUSING SUPERVISOR,Housing & Community Development,A06,79000,83200.00,2022-04-02,FY2024
Appleby,Y,Harold,SANITATION CREW MEMBER,Public Works,A50,43000,50700.00,2015-08-14,FY2024
Appling,Z,Dorothy,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40000,44300.00,2009-12-29,FY2024
Aragon,A,Luis,POLICE OFFICER,Police Department,A99,71500,85700.00,2011-05-15,FY2024
Archer,B,Nathan,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,65000,68700.00,2020-09-27,FY2024
Archie,C,Leroy,SANITATION DRIVER,Public Works,A50,47000,56200.00,2016-02-10,FY2024
Arciero,D,Anthony,PARKS PROGRAMMER,Recreation & Parks,A40,43000,47700.00,2008-07-03,FY2024
Arcos,E,Fernando,POLICE OFFICER,Police Department,A99,70000,83800.00,2013-10-19,FY2024
Arellano,F,Maria,HOUSING INSPECTOR,Housing & Community Development,A06,60000,63100.00,2019-03-08,FY2024
Arenas,G,Rafael,SANITATION CREW MEMBER,Public Works,A50,43000,50500.00,2017-06-21,FY2024
Armfield,H,Gertrude,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39000,43000.00,2005-11-04,FY2024
Armistead,I,Walter,POLICE OFFICER,Police Department,A99,73500,89200.00,2012-04-17,FY2024
Armstrong,J,Cassandra,HOUSING SUPERVISOR,Housing & Community Development,A06,77000,81100.00,2021-08-30,FY2024
Arnold,K,Melvin,SANITATION SUPERVISOR,Public Works,A50,59000,69800.00,2014-01-13,FY2024
Arnott,L,Valerie,PARKS PROGRAMMER,Recreation & Parks,A40,43500,48300.00,2009-05-26,FY2024
Arora,M,Pavan,POLICE OFFICER,Police Department,A99,71000,85500.00,2010-09-11,FY2024
Arrington,N,Keisha,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,64500,68000.00,2020-12-16,FY2024
Ashby,T,Damon,ROAD CREW MEMBER,Transportation,A30,51000,58700.00,2013-04-02,FY2024
Ashford,R,Maxine,STREET LIGHT TECHNICIAN,Transportation,A30,56000,64800.00,2016-08-14,FY2024
Ashe,W,Jerome,ROAD INSPECTOR,Transportation,A30,60000,68900.00,2011-02-22,FY2024
Ashley,B,Denise,TRAFFIC ENGINEER I,Transportation,A30,68000,74200.00,2017-09-05,FY2024
Ashworth,C,Gerald,SANITATION CREW MEMBER,Public Works,A50,44000,52100.00,2014-11-18,FY2024
Askew,D,Lorraine,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,39500,43900.00,2007-03-27,FY2024
Askins,F,Vernon,POLICE OFFICER,Police Department,A99,70500,84200.00,2015-06-09,FY2024
Atkins,G,Evelyn,HOUSING INSPECTOR,Housing & Community Development,A06,59500,62700.00,2018-04-16,FY2024
Atkinson,H,Leonard,SANITATION DRIVER,Public Works,A50,47500,56900.00,2012-10-30,FY2024
Atwood,I,Barbara,RECREATION PROGRAMMER,Recreation & Parks,A40,42000,46600.00,2019-07-08,FY2024
Aubin,J,Pierre,ROAD CREW MEMBER,Transportation,A30,51500,59300.00,2016-01-25,FY2024
Audette,K,Francois,TRAFFIC ENGINEER II,Transportation,A30,76000,83500.00,2010-08-12,FY2024
Auger,L,Nicole,HOUSING CODE COMPLIANCE,Housing & Community Development,A06,63500,66900.00,2021-05-19,FY2024
August,M,Dennis,POLICE SERGEANT,Police Department,A99,97500,122000.00,2013-09-04,FY2024
Augustine,N,Thomas,SANITATION CREW MEMBER,Public Works,A50,43500,51500.00,2015-02-11,FY2024
Austin,O,Carolyn,PARKS MAINTENANCE WORKER,Recreation & Parks,A40,40000,44500.00,2008-06-28,FY2024
Autry,P,Gene,POLICE OFFICER,Police Department,A99,71500,86200.00,2016-03-17,FY2024
Avery,Q,Helen,HOUSING SUPERVISOR,Housing & Community Development,A06,75000,79000.00,2017-11-09,FY2024
Aviles,R,Maria,SANITATION DRIVER,Public Works,A50,47000,56000.00,2011-07-22,FY2024
Axelrod,S,Joel,ROAD CREW SUPERVISOR,Transportation,A30,62000,71800.00,2009-12-14,FY2024
Ayers,T,Sandra,PARKS PROGRAMMER,Recreation & Parks,A40,42500,47200.00,2014-04-07,FY2024
Ayres,U,Donald,POLICE OFFICER,Police Department,A99,70000,83200.00,2017-08-28,FY2024
Aziz,V,Fatima,HOUSING INSPECTOR,Housing & Community Development,A06,60500,63800.00,2020-02-03,FY2024
